Video_Id,Tittle,Description,Name,Comment,Comment_Id,Time,Likes,Reply_Count,Label,LengthComment,cleanTittle,cleanComment,countUrl,WhiteSpacenum,StopwordRatio,WorldDuplicateRatio,CountEmoji,CountNonAscii,CountUpperLetters
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Debat panas antara kedua pasangan calon presiden dan wakil presiden terus berlanjut. Keadaan makin sengit saat sesi ...,Doharman Patimura Waruwu,https://youtu.be/LBKGyxnpMCU,Ugz-zdD0s87dSDzITuh4AaABAg,2019-01-17 23:06:24,0,0,spam,1,panas jokowi vs prabowo saling serang soal korupsi,https://youtu.be/lbkgyxnpmcu,1,0,0.0,0.03571428571428571,0,0,7
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Akiru Syakir,Bantu subscribe youtube gw dong,UgwQM2OHIzkVDtu0PIN4AaABAg,2019-04-10 22:40:00,0,0,spam,5,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,bantu subscribe youtube gw dong,0,4,0.0,0.03225806451612903,0,0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Teguh Wage Prakoso,"hachimon tonkou, kalau buka gerbang ke 8 auto mati wkwkkw",Ugyh7dOOI2953Exf3cp4AaABAg.8tUY_eVh77e8tUhBosQJLg,2019-04-09 02:50:06,0,0,spam,10,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,hachimon tonkou kalau buka gerbang 8 auto mati wkwkkw,0,9,0.1,0.017857142857142856,0,0,0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,hidayah,https://www.youtube.com/channel/UC_iQ1hcNxz1irlkMO9fypLg,UgxA-h0VMWXoShPkFEZ4AaABAg,2019-04-10 12:25:49,0,0,spam,1,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,https://www.youtube.com/channel/uc_iq1hcnxz1irlkmo9fyplg,1,0,0.0,0.017857142857142856,0,0,7
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Derisma Ae,"https://youtu.be/aS1FIPcCuh4 CH: Derisma ae, minta SUBSCRIBE, di tunggu ea, terimakasih.",UgybtnYbYjDF7YZJAdN4AaABAg,2019-04-15 16:00:05,0,0,spam,10,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,https://youtu.be/as1fipccuh4 ch derisma ae minta subscribe tunggu ea terimakasih,1,9,0.1,0.012048192771084338,0,0,17
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,GUGUS NTB_Si Luh Putu Sri Utari,"Om Swastyastu🙏
Hari Kartini sudah dekat! Dalam memperingati hari Kartini, kami dari kelas X MIPA 1 membuat sebuah short movie. Kami mohon review dan like dari teman teman semua untuk short movie kami. Satu like dari teman teman sangat membantu kami untuk berkarya lebih baik lagi. 😊😊
https://youtu.be/kahod9sN7R8

Terimakasih🙏🙏",UgzbWRmjT5OKeSSBtaN4AaABAg,2019-04-18 01:15:38,29,4,spam,49,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,om swastyastu🙏 hari kartini dekat memperingati hari kartini kelas x mipa 1 membuat sebuah short movie mohon review like teman teman semua short movie satu like teman teman sangat membantu berkarya lebih baik 😊😊 https://youtu.be/kahod9sn7r8 terimakasih🙏🙏,1,48,0.14285714285714285,0.002241561181434599,5,5,16
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Imin Bager,#JUSTICEFORAUDREY Semoga pelaku mendapatkan hukuman yang setimpal and STOP BULLYING !!,UgyDirf9Sa0zLsJ3JdV4AaABAg,2019-04-09 14:53:12,432,13,spam,11,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,#justiceforaudrey semoga pelaku mendapatkan hukuman setimpal and stop bullying,0,10,0.1,0.011904761904761904,0,0,29
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Ainem Zainal,"Saya membuat konten how to, support channel yang ga seberapa ini ya kak . Boleh mampir .Klik subscribe",UgwH81ApqnQvHBjoODB4AaABAg,2019-04-09 18:41:52,0,0,spam,18,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,membuat konten how to support channel ga seberapa kak mampir klik subscribe,0,17,0.29411764705882354,0.01020408163265306,0,0,3
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,bottle ultron,"mumpung masih anget yuk mampir ke youtube aku , ada film belok kanan barcelona",UgxsXY8BgBFUHqdGntN4AaABAg,2019-04-16 16:27:31,2,0,spam,14,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,mumpung anget yuk mampir youtube aku film belok kanan barcelona,0,13,0.23076923076923078,0.013157894736842105,0,0,0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Mujahid Muda Chanel,Inilah tanggapan masyrakat papua barat tentang pak jokowi :https://youtu.be/17idp3iLGwM,UgyVh3dHCmpeTmt10GV4AaABAg,2019-04-12 22:40:24,0,0,spam,9,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,inilah tanggapan masyrakat papua barat pak jokowi https://youtu.be/17idp3ilgwm,1,8,0.1111111111111111,0.011627906976744186,0,0,4
