Video_Id,Tittle,Description,Name,Comment,Comment_Id,Time,Likes,Reply_Count,Label
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Debat panas antara kedua pasangan calon presiden dan wakil presiden terus berlanjut. Keadaan makin sengit saat sesi ...,Doharman Patimura Waruwu,https://youtu.be/LBKGyxnpMCU,Ugz-zdD0s87dSDzITuh4AaABAg,2019-01-17T23:06:24Z,0,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,GUGUS NTB_Si Luh Putu Sri Utari,"Om Swastyastu🙏
Hari Kartini sudah dekat! Dalam memperingati hari Kartini, kami dari kelas X MIPA 1 membuat sebuah short movie. Kami mohon review dan like dari teman teman semua untuk short movie kami. Satu like dari teman teman sangat membantu kami untuk berkarya lebih baik lagi. 😊😊
https://youtu.be/kahod9sN7R8

Terimakasih🙏🙏",UgzbWRmjT5OKeSSBtaN4AaABAg,2019-04-18T01:15:38Z,29,4.0,spam
bY5xuL62xRM,FULL LIVE DEBAT Kedua Capres Pemilu 2019 -- Jokowi vs Prabowo --,(TANPA jeda IKLAN) Tonton lagi FULL LIVE DEBAT Kedua Capres Pemilu 2019 -- Jokowi vs Prabowo -- #DebatCapres ...,MBAH SEMAR OFFICIAL,https://youtu.be/AX-l8ZYTjhA,UgyOsI2ZNgcGjq_pget4AaABAg,2019-02-19T12:13:00Z,0,0.0,spam
bY5xuL62xRM,FULL LIVE DEBAT Kedua Capres Pemilu 2019 -- Jokowi vs Prabowo --,(TANPA jeda IKLAN) Tonton lagi FULL LIVE DEBAT Kedua Capres Pemilu 2019 -- Jokowi vs Prabowo -- #DebatCapres ...,Bakol Daster,"Surat an-nazi'at hapalan anak2
https://youtu.be/BB2f4TCzbJs
Thanks for your subscribe",UgxUlmW4iEMQSjwVbxB4AaABAg,2019-02-19T11:47:37Z,0,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,REDHADITYA RADJAB,"REAL TESTIMONI
•
•
NEW NORMAL harus punya muka bersih,kenyal dan glowing dong 😍 NO kusam-kusam yaa guys

RedhaFacialCare mengatasi masalah kulit wajah yang kusam,berjerawat,pori-pori besar, bopeng,flek-flek udah pake ini itu dan tidak ada perubahan Yuukk pake @redhacream bikin muka glowing dan makin kinclong cream ini recomeded banget hasil yang didapat
✔️ Kulit putih bersih cerah dan glowing
✔️ Pori kecil dan super lembut
✔️ Menghilangkan bekas jerawat dan flek
✔️ Kulit cerah dan merona
✔️ Kulit lebih shiny
✔️ Menyamarkan scar/bopeng
✔️ Anti aging
✔️ Hasil terlihat sejak pemakaian pertama
✔️ Minim merah,minim perih

Kelebihan Cream Gel kami
Cream Gel dengan antioksidan tinggi sehingga tidak cepat berubah warna GARANSI DAN dijamin bukan abal2

Order/reseller bisa langsung 
wa 📲 +62811171105 +6281234300362

Produk racikan yg sudah sesuai standar medis dan sudah BPOM jadi aman pake ibu hamil dan ibu menyusui
Jangan samakan kualitas produk kami dengan produk sejenis ditoko sebelah yaa
Di jamin kualitas kami yang terbaik!!! COBA DAN BUKTIKAN
Follow ig nya yaa
@redhacream
@__________drg.redha________919
Yang mau jadi reseller RedhaCream atau order dalam jumlah besar
Wa 0811171105

Obat kurus  isi 30 capsul
-menurunkan berat badan 
-mengurangi nafsu makan tanpa efek apapun
-membuat porsi makan lebih sedikit dari biasanya 
-tidak menimbulkan gejala gejala negatif
-aman di konsumsi ibu menyusui
-bekerja dari dalam melunturkan lemak dan membentuk badan terlihat ramping 
-di konsumsi rutin dapat menurunkan berat badan 3-5 kg
Obat kurus aman 1000% original
paling ampuh paling laris d jamin original
no abal2
KEMASAN/PACKING nya ready 

Obat gemuk 
*Menambah nafsu makan
*Menggemukkan badan secara merata tdk hanya di pipi saja
*Membuat badan kenyal,semok dan berisi secara merata bahkan di bagian yg susah gemuk
*Membuat tidur lebih nyenyak dan badan lebih terasa segar
*Bisa di konsumsi Wanita,laki-laki,ibu hamil (Mulai umur 15tahun)
*Tidak ketergantugan jika di hentikan pemakaiannya badan tidak kurus lagi (AMAN)
*Terdapat 30pil berwarna orange berfungsi sebagai penggemuk badan dan 30 pil berwarna biru sebagai vitamin tubuh.
Buat tubuh mu menjadi ideal.....",UgypCpHwp6aAVFptegd4AaABAg,2020-08-09T06:50:48Z,0,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Teddy Taufani,"Siapa yg merinding nonton ini video, like 😨",UgymWIjnqV3Z9JOVGkV4AaABAg,2019-04-10T08:49:44Z,1,0.0,legitimate
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Debat panas antara kedua pasangan calon presiden dan wakil presiden terus berlanjut. Keadaan makin sengit saat sesi ...,Riska Amalia,"Ngak tahu kah kabarnya papua juga merasa dibohongin tentang bbm , nanti tunggu aja tanggal mainnya siapa yang menang , rakyat sudah tahu hasil dari pencitraan .",UgzStrrzMVkeANhiC414AaABAg.8qD2VVBYdUu8qWQTAlgely,2019-01-25T05:19:29Z,0,,legitimate
bY5xuL62xRM,FULL LIVE DEBAT Kedua Capres Pemilu 2019 -- Jokowi vs Prabowo --,(TANPA jeda IKLAN) Tonton lagi FULL LIVE DEBAT Kedua Capres Pemilu 2019 -- Jokowi vs Prabowo -- #DebatCapres ...,Iputh channelh,"siapaun yang menjadi pemimpin kedepannya kami harap dapat membawa negara indonesia lebih maju dan sejahtre lagii,,,,amin",UgyFQM13K061MRW5ePV4AaABAg,2019-02-22T07:29:37Z,0,0.0,legitimate
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,DebatCapres #DebatJokowiPrabowo #DebatKeempatCapres Calon Presiden nomor urut 01 Joko Widodo dan Calon Presiden ...,Tokoku5. id,"Pokok e pak JOKOWI 2 periode 👍👍  
kalau prabowo jadi presiden kita ngk punya Ibu Negara 👎
Jaga istri aja ngk bisa, mau jaga Negara..    👎",Ugybh8aHiCkeMLnDzMZ4AaABAg,2019-03-31T08:25:32Z,2,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,kharisma setya kencana,👆👆👆👆👆👆,UgzbICRmksoeoGVFCzd4AaABAg,2019-04-09T04:08:18Z,0,0.0,legitimate
