Video_Id,Tittle,Name,Comment,Comment_Id,Time,Likes,Reply_Count,Label
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Suliani Suliani,"Astaqfirulloh haladzim,,,,prabowo ngomongnya gk jelas hehee",UgyZDJRwfuqy0M1CrKd4AaABAg,2019-01-21T05:51:44Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Fantasy GT,Uh She Up '-',UgwifLELkBIGe9o77tZ4AaABAg,2019-04-17T22:36:07Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,melanie mutia,@BTS ARMY FOREVER ya suka suka gw ngmg bacot ke elu lah,Ugw_tmXCy-ZlbwpvzYJ4AaABAg.8voVbBid09j8yUdsPWIbWd,2019-08-11T08:58:04Z,0,,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Dio Pangestu ARK,channel anda yang BOOM,Ugx9pam3Je2DOCwcMYx4AaABAg,2020-08-17T09:12:18Z,1,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,AJENG 9955,ko dandan muslim,Ugzy7SLIQTfPjRdKQXN4AaABAg,2019-04-10T06:09:45Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Jumrotul Aulya,Wageeeelllaaaaasseehhh keren abis 😭😍,Ugypq1IiYCAFdilZ07h4AaABAg,2019-04-10T01:09:34Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Sansimpact,KEREN INI SIH 👍👍👍,Ugzf5gw4fKtwHGfrg4F4AaABAg,2019-04-08T15:02:12Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Late at night_ 52,Yah trending nya jadi kedua,Ugw9YK7QM9ic8ujkAgN4AaABAg,2019-04-14T04:14:47Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Wahyu Saputra,"mantabbb jiwaaa brooo,GASSPOLLL",UgzjVEEJ16avZ0O3IbJ4AaABAg,2019-04-09T18:23:24Z,1,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Ayesha Aulia diva,Tiap taun pasti mampir kesini🤯,UgxkJtVuwFunWzwNbZd4AaABAg,2022-03-03T10:58:25Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,arya maulana,@friend of gamer bapak kau entod di depan umum btw mana buktinya,UgwiAgM7eXvzUh7bvep4AaABAg.93iyv9sseaj95doLyZp6S8,2020-03-01T03:53:11Z,0,,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,zoa,"Keempat kalinya nonton, gasengaja nyalain subtitle eh dipart² tertentu malah ngakak bacanya 😂",UgxXjUYA6TTSZLsqAt94AaABAg,2019-04-13T15:41:13Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Nindi Firdayanti,Januari 2020 siapa yg msh nnton😆,UgyDSwzg1KvkOjBuYRR4AaABAg,2020-01-03T13:57:14Z,1,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,IMAM gaming,Kereeeeeennnnn😘😘😘,UgyyM_kDSJHVlOk3v2B4AaABAg,2019-04-11T13:26:21Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Randy Pradana,Anjeng,UgyfkmovZQxisZnqg3B4AaABAg,2019-04-12T04:39:53Z,1,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,arief Gunawan,"Netizen, please do you magic 🙏🙏🙏
https://youtu.be/Fr31jNIh9YE",UgwZpUT2ZZtWay6glhd4AaABAg,2019-04-15T08:11:08Z,0,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,UMAR ALFATIH,"@la Vi saya udah nonton, saya menyadarinya semua pasti ada kepentingan. ada yg lebih bahaya dri itu, yaitu ketika seorang anak pki menyebarkan ideologinya dengan menulis buku ""Saya bangga jadi anak pki"" bukan sampai di situ aja, mereka sudah masuk ke parlemen, menulis buku juga ""anak pki masuk ke parlemen"" dn masih banyak lagi. silahkan anda gali kembali, anda pelajari lagi. 
""Boneka PDI"" PR buat anda, Siapa itu PDI, Siapa orang2 di belakang PDI, siapa kader2 PDI? Siapa orang2 di sekeliling PDI?
Alam sudah menyediakan semua, Energi bisa saja gratis?",UgzaBHN1wXOgGoRRnFB4AaABAg.8tkSUljCqTZ8tm5SElBdvS,2019-04-16T06:17:07Z,0,,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,adela putri agata,You did really great job guys,UgwJy9P0Vpw1TOPI92t4AaABAg,2019-04-10T12:26:10Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Ce Viq,"Ini baru konten yg bagus💓
Ketimbang konten asiyapp untuk tonton bocah",Ugyq3f5AIs_NnS6_JSt4AaABAg,2019-04-25T10:55:56Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,felisia erni,"Sumpah keren, milenial yg amat sangat kreatif 👍",UgzDTBLc1avLcTPvjAN4AaABAg,2019-04-10T08:12:25Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,fadil salim,Mantaap bng✨,Ugw6_HFCvvUkNIveyvZ4AaABAg,2019-04-15T23:05:41Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Heri Atha,Mantap jangan golput . Siapapun presidennya harus kita dukung dan hormati. Demi indonesia jaya,UgxJevsYDLz0oJ0WqHZ4AaABAg,2019-04-08T15:50:03Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,mass obik,Sama,Ugw0K_k-IdIq2MEV_354AaABAg.8yGi3_vagRg8yLLltOs9x3,2019-08-07T18:18:00Z,1,,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Feviana Fitrah,Trending no 1,UgxPIm-oIOkzkSaU5Ft4AaABAg,2019-04-12T08:35:33Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Keanu Ahmad,KERENNN BUANGWEETETETETETETETTTTTT,UgzmI3DFblZtCYafB6l4AaABAg,2021-09-02T02:46:56Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Moh Nur Afafi,Gokilllll cokkkkkkk,UgwgdAA93GdQNgbCcUR4AaABAg,2019-04-08T16:01:04Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Maulana Farid,Trending 1,UgxOalE2hd-BSYpAIX54AaABAg,2019-04-09T13:35:51Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Ramadhan EL Halim,Ini yang gua suka,UgwpSEsdXCOvwYDyF994AaABAg,2019-04-09T03:13:23Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Anggita Novi,WOIIII JANGAN BERHENTI DOONGG!!!,UgxXaMZXjJGitO6qET14AaABAg,2020-07-07T08:06:59Z,3,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Ariie Ochil,Keren,UgxIY6B1XdqU0QDlE7p4AaABAg,2019-04-10T16:42:44Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Muhammad Haikal,"gua stop untuk nonton dulu di menit 2:11 untuk KETAWA dulu, hahaha ngakak emang mantap hahahahaha",Ugwh5qwDOhpPNs0H5bx4AaABAg,2019-04-09T09:18:22Z,11,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Ukrok Al katiri,HAHAHAHAAAAAA,UgyMT-JOm8MWxrgNi854AaABAg,2019-04-10T23:57:01Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Bagus Alam,Gara2 lalisa jadi kesini lagi hahahaha,Ugz5lQ5oeejQc5ZdqiR4AaABAg,2021-09-10T12:15:25Z,5,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Salzma Shira,Gabosen banget:),Ugw_pbn2Cjf-A4XrXAR4AaABAg,2020-06-02T00:56:29Z,0,0.0,legitimate
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Zeralda Nuraisyah,EPIC!!!,UgwtdYMJRYOLx4XANQt4AaABAg,2019-04-10T02:28:21Z,0,0.0,legitimate
