Video_Id,Tittle,Name,Comment,Comment_Id,Time,Likes,Reply_Count,Label
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Banda vlog,Apa salah mobale lejen pak soekarno,UgwmjTHzY2zMOXBg9F94AaABAg,2019-04-11T11:27:47Z,0,0.0,
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,kharisma setya kencana,👆👆👆👆👆👆,UgzbICRmksoeoGVFCzd4AaABAg,2019-04-09T04:08:18Z,0,0.0,
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,「GratioKunz」,Dan golput itu apa,UgxROKiw4EX5LyaG0lx4AaABAg,2019-04-18T08:57:13Z,0,0.0,
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Trestrantara WZ,Keren!!,UgymN9o3cZFXVPLKcjZ4AaABAg,2019-04-08T16:42:13Z,0,0.0,
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Heri Kurniawan,Pilih siapa presiden aku Prabowo-Sandi,Ugw9J8lP4lOg0t5yX0l4AaABAg,2019-04-18T00:45:06Z,1,0.0,
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Doharman Patimura Waruwu,https://youtu.be/LBKGyxnpMCU,Ugz-zdD0s87dSDzITuh4AaABAg,2019-01-17T23:06:24Z,0,0.0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,666ranger,Gw ikuttt koment lohhh,UgwKlaNqj0fQUpQ3Neh4AaABAg,2019-04-09T11:42:22Z,0,0.0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Rizaldo Rizky Ramadhan,Bagus sih. Meskipun tiru tiru Epic Rap Battle,UgzulMMMFleZEE1lAO54AaABAg,2019-04-15T05:00:02Z,0,0.0,
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Ganis Fathoni,"Gw pendukung Prabowo, tp gw tersinggungnya pas di flow Jokowi 😂",UgxF1r9yMnMxyFDa4HJ4AaABAg,2019-04-09T07:28:57Z,0,0.0,
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,BotaksMan,Ada yang dari tahun 2025?🗿🔥,Ugx_s948xKTK9LlXF5F4AaABAg,2021-01-18T14:38:50Z,1,0.0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Merdeka Selamanya,Menghibur,Ugxi1ucujacIS_zlagF4AaABAg,2020-05-18T08:19:30Z,0,0.0,
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Ine Suwanda,wahh ak dah 3 kali nonton ada yang lebihin aku gx,Ugy2Cd4UGsInW9f3R9p4AaABAg,2019-04-13T00:43:06Z,0,0.0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Maz Malik,Njir gue baru sadar kalo  gua nonton 15 kali,UgzSAC1H6Lr2obDDXD94AaABAg,2019-06-01T23:39:33Z,89,8.0,
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Fadillah Dwi Rahayu,"Gw kurang srek deh di menit 1:13 disitu ada bendera indonesia tapi kaya setara sama yg di dudukin, selebihnya udh matap ko",Ugw627P2XwTIxk6TEt14AaABAg,2019-04-10T02:58:56Z,0,0.0,
