Video_Id,Tittle,Name,Comment,Comment_Id,Time,Likes,Reply_Count
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Dinar Agusni Muslim,MASIH BANJIR,Ugy0QmGzhofIWEk9p1h4AaABAg,2022-06-16T09:28:19Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,SpideyLazzy,GG,UgykXB6PhyTUi9ZZt554AaABAg,2022-02-27T18:30:16Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Rahman Saragih,Menit ke 9:34 kayanya ada yang aneh 😂,UgxSa4nuTeVWWMaMpKV4AaABAg,2022-01-23T10:40:53Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Faradiba 4,Fara diba,UgxH1O4TuMgADmhOkiN4AaABAg,2021-12-22T06:56:11Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Joel verdo,BPK hebat,UgzcRLj5UrnmCxJdxbR4AaABAg,2021-11-01T13:50:36Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Sutiono Nono,Klo korupsinya sedikit mah GG masalah ..haaaaaa kaku,Ugzdni_nr_N-SauT2fd4AaABAg,2021-10-30T19:19:47Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,ibenk,Lucu lihat Prabowo blunder 🤣,Ugw0DN9az6K2S75i3il4AaABAg,2021-09-26T18:08:45Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Bagus Setiawan,Gimana gimana gak denger gw maksudnya nyolong ayam bener kalo nyolong uang rakyat gak seberapa belom bener kalo nyolong nya ape teriliunan baru salah yah udah gw mau nyolong ayam 1 satu biar kesanya gak salah,UgzknX31v0m8Ol6d2ud4AaABAg,2021-08-04T07:47:48Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,cak akhmad,Ngomong tak sesuai fakta . . . .,UgyiLR5-6HMfXLe5UoR4AaABAg,2021-06-29T14:55:18Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Prof Usb,Waktu bernafas masih ada?,UgzUVW4dqyIS0Mc7dSp4AaABAg,2021-05-27T06:58:26Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Zakihus Nawipa,W,UgzsNGI_crE-yit6enV4AaABAg,2021-05-15T14:47:57Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Zidan Sihotang,Moderator nya sok tegas,UgwGlCRueKy5LMHPta94AaABAg,2021-05-07T05:32:19Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Panji Tegar,Saya ingat kata Gus Dur Indonesia itu ibarat sawah yang sudah dikuasai tikus lumbung nya dikuasai tikus,Ugwdg423DP2uL_VJ1LZ4AaABAg,2021-04-06T21:44:04Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Muchammad Haykal Fardani,Dan pada akhirnya Di periode ke 2 ada 2 Menteri Bapak Yg Korupsi😐,UgzJY94TmwpcSqrO2Vh4AaABAg,2021-03-21T14:40:55Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Raysh,"pantang menyerah , tetap semangat , walau bapa tau pasti akan kalah...",UgyTVAnkPTMoT31LTP94AaABAg,2021-03-10T02:27:15Z,2,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Budi Susi,01,UgyOy1B4AUJEnPdzIOV4AaABAg,2021-03-02T06:22:06Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Ang Ngga,"Jujur saja, siapa dulu yang pilpres milih Prabowo 😂",UgxFc-N_Ag6iO2ARZ754AaABAg,2021-02-25T12:07:16Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Shin Shin,"Sy pendukung prabowo,
Jwban nya pk probowo gk nyambung sama pertanyaanya terlalu banyak menyimpang dan lagi pila knp mantan korupsi dan narapidana di canlonkan mentri justru itu lah yang akan membuat rakyaat sengsara",UgyYWLi_HNhA6X389vZ4AaABAg,2021-02-07T05:49:35Z,1,2
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Wisnu Cahya,Sekarang kamu pendukng siapa,UgyYWLi_HNhA6X389vZ4AaABAg.9JSDKbHMSAD9K5w4weh-vj,2021-02-23T10:38:15Z,0,
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Shin Shin,"Knp mantan korupsi dan narapidana di calonkan mentri apakah tidak ada orang yg lebih layak lagi untuk jadi mentri pak prabowo,
Jika calon mentri nya aja mantan korupsi dan narapidana bagaimana bisa bangsa ini sejahtra",UgyYWLi_HNhA6X389vZ4AaABAg.9JSDKbHMSAD9JSDhXfqWND,2021-02-07T05:52:51Z,0,
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,N123.,😂😂😂😂😂,Ugwt7p-bHRtfiQ2Hxvt4AaABAg,2021-01-24T09:27:05Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Mufti Mutawatir,Dan sekarang Prabowo Sandi masuk di Kabinet Indonesia Maju 🔥,UgwRMz9Mv7VeynwaCuB4AaABAg,2021-01-19T09:03:38Z,1,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Ekayana Maggo Yonanda_1IA25,"Sekarang mereka sudah bersatu, damai selalu indonesia👍",UgznmU3ERc4zpmUq8q14AaABAg,2021-01-08T12:10:04Z,7,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Taufi Qurofik,Dan mereka berdua Menjadi 1 dalam pemerintahan wkwkwkwk,UgzB6jjxl299byh8Kx94AaABAg,2021-01-06T02:48:12Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Endo Damkar,Kongkalikong skandal pemilu 2019,Ugw8MYnw-Xmoi-sNjJF4AaABAg,2020-12-28T22:36:09Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,SABDO PALON,Ciieee ciiieeee ternyata edy prabowo yang KORUPTOR😂😂😂,Ugws4vpSgs5lp-RV2Ll4AaABAg,2020-12-25T13:15:17Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Tommy Arshavin,Lahh eddy prabowo wkwkwk,UgwPmI4QyRpZ6eVcD-J4AaABAg,2020-12-08T02:38:40Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Fadel imam Muttakin,Debat yg tidak berkualitas,UgwYbtaQusahQqW0L5J4AaABAg,2020-11-30T03:12:54Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Tesd Ted,Minartikop5febbyikutp9,UgxIdiuaGg9r2B-Pn5Z4AaABAg,2020-11-29T05:01:51Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Zainal Abidin,Preeet,UgwZnJGd6KXY1Z3eaF54AaABAg,2020-11-26T13:44:04Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Rexcy alwi,"Gue kesini gara gara eddy prabowo kna tangkep kpk 
Ada yg sama?",Ugxa-e1dnLuniHvBcFh4AaABAg,2020-11-25T20:05:04Z,1,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Dot Dot,"Disini juga masalah korupsi, kalau ada dalam partai gerindra, Bapak Prabowo sendiri yg akan memasukkan sendiri kepenjara. Itu setahun yg lalu. Wah, asin Roxanna Pak Prabowo.",Ugzr1zZCiINqQ1Xn3sZ4AaABAg,2020-11-25T18:51:22Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Yan Imran,"Siluman2 korupsi, terang di lihat, namun bukti2 yg ada, sulit di jadi kan bukti korupsi,",UgyoK9fGVHymXUPCxlp4AaABAg,2020-11-06T06:26:39Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Hazwan Hashim Hj Ibrahim,Sederhana kan sistem hingga rasuah susah terjadi. Tahniah,UgwzqRel7cNS24hYhul4AaABAg,2020-10-10T10:24:24Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,mod tutor,Pilih gw bro wkwk,UgwAwzytQxFR_LQhKl94AaABAg,2020-10-10T08:37:03Z,1,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Raden Gibran,login,UgxXwins59WPQU3V12d4AaABAg,2020-10-09T10:37:20Z,0,0
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Raden Gibran,gift Alok,Ugx12SJh7X4WwF7u7Qd4AaABAg,2020-10-09T10:36:58Z,0,2
