Name,Comment,Time,Likes,Reply Count,Label
David Kurniawan,"3:00:38 membangun infrastruktur bukan di Jawa aja, tapi di seluruh indonesia",2021-12-10T07:32:28Z,0,0,ham
Martin Marchellino,1:29,2021-11-08T14:31:02Z,1,0,ham
Landon Syahputra,5:19:00,2021-10-04T04:36:50Z,0,0,ham
Reyhan Malvin,4:09:00 Debat Terbuka,2021-09-14T08:53:08Z,1,0,ham
29 Vemas Wian Nova,YNTKTS 🗿,2021-07-22T07:43:54Z,1,0,spam
Dian Lami,Yg nonton 2021,2021-07-13T09:48:47Z,1,0,spam
Shavileo Damar,WHO is The Man 1n HerE,2021-07-06T03:54:37Z,0,1,spam
Shavileo Damar,Kapan Kita Kemana kodong,2021-07-06T04:09:16Z,0,,ham
MAS YONO92,Kesini cuma mau denger putri ayu nyanyii ☺,2021-05-17T15:46:10Z,0,0,ham
Sony Suharto,"PREDIKSI PILPRES 2024: 

1. GANJAR - KHOFIFAH (PDIP - PKB) 

2. SANDI - RK (GERINDRA - NASDEM - GOLKAR) 

3. ANIES - AHY (PKS - PPP - PAN - DEMOKRAT)",2021-05-09T09:33:06Z,0,0,ham
FARHAN HABIBIE,2021 mana nih?,2021-04-27T06:35:39Z,1,0,spam
Rafi Wibowo,"4:05:26 oke oce jln tidak? 😂 lu tinggal di mana, hutan cek oke oce skrng masi banyak kok yg jln 🙏",2021-04-27T06:29:18Z,1,0,ham
Rafi Wibowo,3:27:08 wakwkakkakkak,2021-04-27T05:52:06Z,1,0,ham
Rafi Wibowo,"kekompakan 02👍 
01😭",2021-04-27T05:18:34Z,0,0,ham
Kyustika,"Dan sekarang ke empat tokoh tersebut tergabung dalam satu team. 
Teruntuk Pak Prabowo dan Pak Sandi Uno semoga amanah dalam menjalankan tugasnya sebagai menteri. Nanti kan bisa nyapres lagi :')",2021-03-21T17:10:29Z,0,0,ham
Zoey,Lucu liat komennya😂😂😂,2020-12-24T13:03:22Z,1,0,ham
madu maniz,Preeeeet omonganya semua omong kosong,2019-10-19T02:55:53Z,0,0,ham
Pandu Purwa,"ABIS LIAT TRENDING MAHASISWA DEMO TOLAK RUU KUHP 

PASTI NYESEL YANG SALAH PILIH PRESIDEN WKWKKK",2019-09-25T23:37:32Z,1,1,ham
