Name,Comment,Time,Likes,Reply Count,Label
Maratur Sinaga,Sebelah yg banyak bendera HTI,2022-02-04T05:54:15Z,0,0,ham
Thomas Cool,sehat selalu sampe 2024 Jokowi,2022-02-03T01:58:12Z,0,0,ham
Juan Gaming,"Satu yg aq sayangkan ,, aq gak kelihatan padahal aq ada disana 🤣🤣🤣🤣🤣",2022-01-20T16:25:27Z,0,0,ham
Nur Sepudin,Aku yg da di situ jha merinding sneng y luar biasa... pdhal qu dtng ke GBK sendirian krna qu cinta pak Jokowi...smpe qu libur krja dn dept SMA bos qu krna bos qu plihan y pak prbowo,2022-01-13T20:59:10Z,0,0,ham
Opik Rahayu,Sagala marahal.riet,2022-01-11T23:28:12Z,0,0,spam
Dendy Reyhan,"BERPRESTASI, KERJA NYATA, membangun negri ini...beliau adalah bapak Jokowi dan sepantas nya di sapa dgn bapak Pembangunan, bapak Jokowi msh yg terbaik mnjdi pemimpin negri ini dlm sejarah bangsa Indonesia👍",2022-01-09T21:14:09Z,0,0,ham
Mas hardi,"P jokowi orangnya rendah diri baik,bisa menyatukan orang kecil besar .pantas di pilih ,jugabisa merangkul masyarakat dari sabang sampai merauke.guueesss?",2022-01-05T12:07:46Z,0,0,ham
Mas hardi,"P jokowi memang jenius,smart ,optimis indonesia maju.",2022-01-05T11:52:34Z,0,0,ham
Mas hardi,Dengan perbedaan kita kita akan bersatu membangun negri.,2022-01-05T11:44:22Z,0,0,ham
Mas hardi,"Putih itu suci ,putih bersatu untuk negri.",2022-01-05T11:30:26Z,0,0,ham
Abdullah Fakih Fakih,Jadi semua kuminta yang ada diindonesia jalan yang lurus ini dingat2 iya assalam mualaikum,2021-12-31T16:21:51Z,0,0,ham
Abdullah Fakih Fakih,JADI GAES SUDAH LIHAR SEMUA YANG ADA ARTIS TETAP BISA SEMENGAT COSER INI NAK TALIHAT TETAP HARUS BISA SEMUA BISA SEMANGAT GAES TRIMA KASI SEMUA ARTIS ASSALAM MUALAIKUM,2021-12-31T16:07:00Z,0,0,spam
Abdullah Fakih Fakih,JADI SEMUA KUMINTA JADI SATU ITU BISA KUAWAT SENG PENTING KUMINTA GAK BOLEH PECAH BELA KARNA APA JADI SATU YANG ADA DIINDONESIA TUMBUH MAJU RUKUN CANTA DAMAI LABANG PACASILA,2021-12-31T16:01:39Z,0,0,ham
Abdullah Fakih Fakih,INI GAES MAU ANGKAT BICARA YANG ADA TAUN BARU SEMUA YANG ADA KUMINTA TAHUN BARU SEMUA YANG ADA PERBARUAN TAHUN 2O22 INI,2021-12-31T15:55:22Z,0,0,spam
Abdullah Fakih Fakih,INI GAES MAU BICARA YANG ADA SEMUA SUDAH TALIHAT SEMUA YANG ADA DUSINI APA YANG DIUCAPKAN SEMUA KUMINTA MARILAH SEMUA BISA BERSATU YANG ADA DIINDONESIA TUMBUH MAJU DAMAI TETAP HARUS SEMANGAT SEMUA YANG KEJA DIBAWAH SEMUA KEMENTRIAN SEMUGA TAUN DEPAN YANG LEBIH BAIK ASSALAM MUALAIKUM,2021-12-31T15:51:42Z,0,0,ham
Pielah 39,Keren abis,2021-12-28T15:29:33Z,0,0,ham
Pielah 39,Mantap pak Jokowi keren,2021-12-28T15:28:48Z,0,0,ham
Farheen Zea,Aa,2021-12-25T18:49:04Z,0,0,spam
aden andelumut,Masih merinding kalo nonton ini,2021-12-16T05:25:55Z,1,0,ham
Andi Reza Kpk,"Itu tribun paling atas bnyk yg kosong bangkunya, katanya banyak 🤣🤣🤣",2021-12-01T07:47:12Z,0,0,spam
Syaiful Bahri,"Pak Anies , the next RI1 2024 ....Aamiin",2021-11-30T14:49:23Z,0,0,ham
Riano Riano,"Buktinya sampe sekarang kita banyak utang luar negeri ngeriiii,,,,,,,",2021-11-23T10:32:12Z,0,0,ham
rio sadigo,Butkyinya sekarang merata bersama jokowi Indonesia maju,2021-11-16T01:01:38Z,1,0,ham
rio sadigo,Seumur hidup dong Jokowi,2021-11-16T00:52:46Z,1,0,ham
Nicodemus Djawa,Sudah pasti menang dua periode lagi,2021-11-14T04:43:58Z,0,0,ham
Nicodemus Djawa,Hanya  Bapak Haji Jokowi Dodo berdoalah selalu buat BPK Jokowi,2021-11-14T04:22:12Z,0,0,ham
sudi Otaku,Kompak ini lah NKRI,2021-10-27T10:40:33Z,0,0,ham
Yard Bakkara,Lagu yg di nyanyikan pertama kali judul nya apa yah,2021-10-08T17:43:40Z,0,0,ham
Sady R Langga,Sehat selalu pak jokowi presiden kita,2021-10-01T20:31:33Z,0,0,ham
Rudi Suardi,Terus dkng jokowi 3 periode,2021-09-18T17:12:21Z,0,0,ham
Siti Tambunan,Mirip.  Sukarno berpidato. IQ master.  Master bicara ( humoris/romantis),2021-09-12T06:45:56Z,0,0,ham
Dody,"Spectacular melebihi apapun yang pernah terjadi di dunia termasuk konser musik, saya salah satu orang yang beruntung berada di dalam.",2021-08-11T10:07:47Z,0,0,ham
Titan Mada,G bosen2 liat kampanye artis2,2021-07-22T11:46:11Z,0,0,ham
Julfan Ubaidillah,Yg gw tangkap ulama ulama nya bukan kaleng kaleng nih,2021-07-15T09:18:54Z,2,0,ham
Herman Lukas,YG  TRBAIK   SOKONG  BAPAK  JOKOWIDODO    INGINLAN  NEGARA  MAJUH  JAYA.,2021-07-14T14:17:07Z,0,0,ham
okta renaldy,Bohoooooooongg,2021-07-04T07:35:35Z,0,0,ham
Fuan Futri,Pertama kali masuk GBK demi Jokowi dan indonesia maju,2021-07-03T07:51:45Z,0,0,ham
Rusmansyah Oman Oman,Kampanye 01 di GBK mantap hebat keren sekali,2021-06-22T15:30:59Z,1,0,ham
Tiara Nabillah,"Ya bapak jokowi
Maju terus",2021-06-12T17:00:40Z,0,0,ham
Abdullah Fakih Fakih,Iya doakan semuaga diberakati alloh yang berjalanan yang lurus dengan baik 2,2021-05-30T13:19:26Z,1,0,spam
Abdullah Fakih Fakih,Iya yang ada dalam majenis upacara bicara buat bpku sediri gk apa2 kitat bersama kita terbaru nya,2021-05-30T13:16:12Z,0,0,spam
Abdullah Fakih Fakih,Ini dj mau bilang kuminta seng penting jaga cofek 19 iya jaga kesehatan ini penting,2021-05-27T06:13:33Z,0,0,spam
Abdullah Fakih Fakih,Semua yang ada diruangan yang disini semuaga bersama doakan semua harus jaga kesihatan ini,2021-05-27T06:10:36Z,0,0,spam
Abdullah Fakih Fakih,Ada yang dibelitong sama aca ayo ko renda ini kuminta ekonomi tekat lah,2021-05-27T06:07:14Z,0,0,spam
Wan Irawan,Semoga sehat selalu bapak presiden ku tercinta ....Jokowi is the best,2021-05-10T11:15:16Z,0,1,ham
TLKVRIMES.54,Semoga jokowi cepet lengser dan mati,2021-05-27T05:18:10Z,0,,ham
Hasian Debata,Siapa tahun ini yang masih melihat video akbar ini,2021-05-09T08:23:07Z,11,0,ham
Mutiara Cute,"Tetap merinding saya klo melihat video ini,tetap dukung Pak Jokowi Taiwan hadir pak de❤️❤️❤️❤️🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨",2021-05-05T09:42:16Z,0,0,ham
Gregorc Pie,Najiss,2021-05-03T10:07:57Z,0,0,ham
aichiro,Ekonomi terkuat wkkkk,2021-05-03T00:03:44Z,0,0,ham
Gerhana Bulan,Rakyat sudah menunjukkan powernya untuk mendukung bapak Jokowi dan bapak makruf amin siapa yang bisa mengalahkan suara rakyat karna suara rakyat adalah suara yang diridhoi Allah,2021-05-01T12:23:14Z,0,0,ham
Roberto Hastian,Ruar biasa Jokowi untuk Indonesia maju👍,2021-04-25T15:54:52Z,0,0,ham
Pecinta Habib Bahar 212,"Trimaksih METRO TV TELAH MENUNJUKAN ARTIS MANA AJA YG DUKUNG JOKOWI,, conto saya asalnya suka si andre dan si nunung tpi stlah lihat video ini, saya jdi benci jiji ilfil ke s nunung dan si andre,, makin hati hati saya skrg pilih artis idola, tapi lebih baik dan lebih aman dri pada idolain artis mending idolain baginda nabi ❤️",2021-04-25T00:47:33Z,0,0,ham
Jeffry Putrasibarani,ARTIS,2021-04-17T09:11:02Z,0,0,spam
Abdul Kholid,Baa rokalloh aamiin wass wr wb,2021-04-14T14:52:09Z,0,0,ham
