Name,Comment,Time,Likes,Reply Count,Label
Yusuf Wahyudi,Politik gambarnya habib.,2022-01-27T05:30:07Z,0,0,ham
Hamdan Magelang,kebanyakan pidato ga asik,2021-11-25T05:04:36Z,0,0,ham
ko Ariyadiiiii,Paslon 2 hanya FPI yg ada😂😂😂... Klo di Paslon 1 Pancasila banget ada berbagai agama ras dan golongan.,2021-11-23T15:11:07Z,1,0,ham
Bayu Makmur,Gelap kuburan,2021-10-27T02:30:37Z,0,0,spam
Bayu Makmur,Organ dalem sakit,2021-10-27T02:28:14Z,0,0,spam
Bayu Makmur,Air doa al busyro di olah jadi sperma zaadul muslim,2021-10-27T02:15:01Z,0,0,spam
Bayu Makmur,Gelap mata merem ada warna bayi haram bayi dosa,2021-10-27T02:04:22Z,0,0,spam
Bayu Makmur,Susah buang air besar,2021-10-27T02:02:33Z,0,0,spam
Kaisar Napoleon Bonaparte,Ada kpala pigai,2021-10-12T16:58:23Z,0,0,spam
Singgih Wibowo,Gatot,2021-09-04T03:40:45Z,0,0,ham
Dika Pratama,Komburr,2021-08-30T13:50:49Z,0,0,spam
Martua Sihaloho,🇦🇱🇦🇫🇨🇾🇨🇳🇧🇹,2021-08-12T02:10:01Z,0,0,spam
Martua Sihaloho,✊✊✊✊✊🇬🇱🇬🇱😉😉🤝,2021-08-12T02:09:10Z,0,0,spam
Martua Sihaloho,🇧🇼🇫🇴🇦🇮🈵🙏🎌,2021-08-12T02:08:35Z,0,0,spam
Martua Sihaloho,🏳️‍🌈🇩🇪🇦🇨😀😀😀🇬🇱 15 ✊✊✊✊,2021-08-12T02:07:49Z,0,0,spam
Martua Sihaloho,Mereka 😀🇬🇱🇳🇺🇬🇱🇳🇺,2021-08-12T02:06:56Z,0,0,spam
Martua Sihaloho,😀😀😀🇬🇱🇨🇮,2021-08-12T02:05:55Z,0,0,spam
Martua Sihaloho,Dan akhirnya 😀✊🇬🇱✊😉👍 ko,2021-08-12T02:05:13Z,0,0,spam
Martua Sihaloho,akan 😢✊✊✊✊✊🇬🇱🇬🇱😓😓,2021-08-12T02:04:02Z,0,0,spam
Martua Sihaloho,😀😀😀✊✊✊🇬🇱🇬🇱🇬🇱🇬🇱,2021-08-12T02:01:00Z,0,0,spam
Buffalo House,Hahahahhahah.... Lucu waktu Itu kalau ditonton sekarang.,2021-08-08T15:39:30Z,0,0,ham
SyafiqZamm,Dasar Malu Maluin Umat Islam Aja,2021-08-01T16:32:46Z,2,0,ham
Hendra Gunawan,Hahahhahaha hahahhah kocak ya nonton lagi🤣🤣🤣,2021-07-25T06:49:30Z,0,0,ham
sela78,msih lihat dan ketawa trus gue😂,2021-07-15T10:57:00Z,0,0,ham
Mia Andini,Kumpulan iblis-iblis berhati busuk.,2021-07-10T00:00:53Z,1,0,ham
Evan Baswara,"Loh ada bendera rizieq skrg udh mau di sel aja kena kasus, hadehhh",2021-06-24T10:37:01Z,1,0,ham
Haris P,Flashback liat video ini lagi ngakak banget😂😂😂,2021-06-23T10:30:11Z,3,3,ham
yosan pernando,😂,2021-09-03T02:11:25Z,0,,spam
yosan pernando,😂,2021-09-03T02:11:25Z,0,,spam
yosan pernando,😂,2021-09-03T02:11:25Z,0,,spam
OP NOOB CH,Indonesia sangat2 butuh jenengan pak prabowo,2021-06-03T07:44:31Z,0,0,ham
OP NOOB CH,"Inilah pemimpin yg sejati,pak prabowo salut dan bangga pada mu❤❤❤",2021-06-03T07:36:02Z,0,1,ham
ko Ariyadiiiii,Pemimpin sejati adalah pemimpin yang di hargai semua kalangan agama dan ras atau golongan. Klo Prabowo sandi yang menghargai cuman FPI saja😂 itu buktii. Di sini terlihat banget FPI nya,2021-11-23T15:15:55Z,1,,ham
Roma Tarigan,Jokowiii👍🏽👍🏽,2021-05-28T10:11:10Z,0,0,ham
endro arjuno,Pak Prabowo is the real gentleman.. liat aja skrg,2021-04-22T21:53:52Z,0,0,ham
wefz sunset,"Waktu itu kaya yg abakl menang ,nasib ehh tp kalah heran",2021-04-22T02:03:04Z,0,0,ham
habel umbu nggalla,Awal kehancuran adalah kesombongan dan ambisius yg salah,2021-04-12T06:35:45Z,0,0,ham
Muhamad Yayat,Wo wo maap ni yah anda kaya orang stres,2021-04-05T18:25:16Z,0,0,ham
Tetti Wibowo,Visi misi NOL BESARRR,2021-04-03T13:43:17Z,0,0,ham
Tatan Husni Tamrin,😂😂😂😂..lumayan lah wo jd mentrinya jokowi jg 😂,2021-03-18T16:26:04Z,0,0,ham
ihsan,Kampanye yg sangat mebosankan,2021-03-17T16:38:12Z,0,0,ham
Panji Fahmin,24:56 sempet jokowi liat ini mungkin dijitak si pak prabowo sekarang wkwkwkwk,2021-03-07T01:34:51Z,1,0,ham
Panji Fahmin,"Masih mau teros???
Kopi kopi",2021-03-07T01:29:10Z,0,0,spam
Singgih Maulana,Awas ada napi lepas,2021-03-02T10:09:43Z,0,0,ham
Jecoo:v,2021?,2021-01-28T14:30:48Z,3,0,spam
Moxienc. GAMING,Lapar kalii,2021-01-25T03:11:42Z,0,0,spam
Moxienc. GAMING,Hahaha 01 berebut nasi bungkus 😂😂😂😂,2021-01-25T03:11:33Z,0,0,ham
Novi Dyah Permatasari,Untung kalah....,2021-01-17T03:49:21Z,0,0,ham
Muhamad Junduloh,Pantes  sekarang diaaaam aja.kalo ngomong takut salah.krn ucapan2 nya di KAMPANYE.,2021-01-11T01:47:46Z,0,0,ham
Muhamad Junduloh,Saudara tau NEGARA KITA SEDAMG SAKIT.sekarang Siapa yg sakit..RAKYAT yg sakit.,2021-01-11T01:45:53Z,0,0,ham
Tama Taruna,The last campaign...,2021-01-02T16:44:58Z,0,0,ham
Rustam Ashwin,yg masih nonton mlm pergantian tahun 2020 ke 2021 mari tertawa bersama🤣🤣🤣🤣,2020-12-31T14:53:09Z,1,0,ham
MasKris,Perkumpulan kadrun,2020-12-29T23:41:43Z,1,0,ham
MasKris,Kampanya capres-cawapres berakhir jadi menteri,2020-12-29T23:38:33Z,1,0,ham
Icky Bns,Semangatnya boleh tuh akhirnya malu sendiri wkwwkwkwk,2020-12-21T22:54:11Z,0,0,ham
DONYBAGUSSENENGMANGAN,ini kampanye apa pengajian wkwkw,2020-11-17T20:33:05Z,0,0,ham
Rizky Pratama,Siapa yang kesini setelah jokowi bloooon,2020-11-15T10:48:24Z,0,0,ham
NOVAL FIRMANSYAH,"NGAKAK DEH


""YANG BENAR PASTI MENANG""

ALHAMDULILLAH YAG KALAH YANG BOHONG..",2020-10-29T09:49:07Z,4,0,ham
NOVAL FIRMANSYAH,ADA AMIN RAIS GAK JADI AH,2020-10-29T09:40:06Z,0,0,ham
NOVAL FIRMANSYAH,"saya Islam, saya Indonesia, tapi kampanye tidak Indonesia",2020-10-29T09:39:13Z,0,0,ham
millenial FC,Intinya 02 ngk munafik ngomong apa adanya,2020-10-12T09:43:07Z,0,0,ham
Arya Syahputra,Ko nga ada artisnya,2020-10-06T17:58:42Z,0,0,spam
Bengkel Las 3 Putra Bangelan cinta sejati,Abis olok2 pmrintah eh pda ahirnya gk jadi presiden mlh jd mentri kok gk malu ya,2020-07-16T10:16:13Z,0,0,ham
Mohd Mohd,Itu orang orasi kampanye apa sensus yak...???????,2020-07-12T05:05:48Z,0,0,ham
red line,Gagah perkasa 👌,2020-07-05T06:30:38Z,0,0,ham
Hello Kitty,Yg ikut kampanye di sini dan lihat vidio di thn 2020 pasti malu...🤣🤣🤣🤣,2020-06-19T15:04:01Z,0,0,ham
Fahri Ramdhani,Dia mau ngikutin almarhum Ir Soekarno cuman gak mirip kasian kwkwkwkwkw,2020-06-01T17:22:01Z,0,1,ham
GMC Official,Prabowo gak di mirip miripin emang gitu gaya nyah maklum lah lulsan dari Ke militeran,2021-01-21T13:04:56Z,0,,ham
Amar channel,Prabowo 👆👆,2020-06-01T15:00:32Z,0,0,ham
Gabriel Dalima,"ngakak di kampaye jokowi tdk ad bendera partai dll..cuman prabowo doang dong.

yg teriak untuk rakyat 44%",2020-06-01T06:07:05Z,0,0,ham
Monksmlbb,BANYAK BANGET DISLIKENYA PADA GA SENENG YA???,2020-05-31T02:06:00Z,0,1,spam
Panji Fahmin,YA SENENG LAAH udah 2 tahun jadi lelucon,2021-03-07T01:28:23Z,0,,ham
HRS IBLIS,Pecundang kalah lagi,2020-05-29T18:31:36Z,0,0,ham
Conspicraziest,Udah jadi pembantu presiden 😁,2020-03-15T15:52:16Z,0,0,ham
Bawor Castelo,PRABOWO SANDI presiden 2019 - 2024,2020-03-05T19:51:56Z,0,0,ham
Edi Riyanto,Makan tu politik identitas😂😂,2020-02-25T14:54:19Z,2,1,ham
